movie_title,user_name,rating,comment
Os Vingadores,Gabriel Rodrigues,4.5,Início épico do MCU
Os Vingadores,William Martinez,4.5,Heróis reunidos
Os Vingadores,Jose Hernandez,4,Divertido
Os Vingadores,Liam Williams,4.5,Ótimo começo
Homem-Aranha,Lucas Oliveira,4.5,Tobey é o melhor
Homem-Aranha,Emily Davis,4.5,Nostalgia
Homem-Aranha,Ana Martinez,4,Legal
Batman O Cavaleiro das Trevas,Carlos Ferreira,5,Heath Ledger brilhante
Batman O Cavaleiro das Trevas,Michael Brown,5,Melhor filme de super-herói
Batman O Cavaleiro das Trevas,Pierre Dubois,5,Obra-prima
Batman O Cavaleiro das Trevas,Marco Rossi,5,Perfeito
Shrek,Fernanda Alves,4.5,Hilário
Shrek,Sarah Johnson,5,Humor incrível
Shrek,Carmen Gonzalez,4.5,Divertido
Pantera Negra,Thiago Pereira,4.5,Representatividade importante
Pantera Negra,Jennifer Garcia,5,Wakanda Forever
Pantera Negra,Valentina Lopez,4.5,Poderoso
Frozen,Beatriz Martins,4.5,Let it go é icônica
Frozen,Ava Miller,5,Crianças amam
Frozen,Sophie Bernard,4,Fofo
Procurando Nemo,Camila Ribeiro,5,Lindo demais
Procurando Nemo,Mary Thomas,5,Emociona sempre
Procurando Nemo,Anna Fischer,5,Adorável
ET O Extraterrestre,João Silva,5,Clássico inesquecível
ET O Extraterrestre,James Taylor,5,Spielberg genial
ET O Extraterrestre,Hiroshi Suzuki,4.5,Tocante
O Rei Leão,Maria Santos,5,Hakuna Matata
O Rei Leão,Emily Davis,5,Infância inteira
O Rei Leão,Francesca Ricci,5,Obra-prima Disney
Deadpool,Gabriel Rodrigues,4.5,Humor ácido
Deadpool,Robert Miller,4.5,Diferente
Deadpool,Klaus Weber,4,Engraçado
Logan,Ricardo Souza,5,Emocionante
Logan,David Wilson,5,Melhor filme do Wolverine
Logan,Alessandro Ferrari,4.5,Intenso
Homem de Ferro,Lucas Oliveira,5,RDJ perfeito como Tony
Homem de Ferro,William Martinez,4.5,Início do MCU
Homem de Ferro,Mateo Silva,4.5,Ótimo
Capitão América,Ana Paula,4,Bom início
Capitão América,Linda Anderson,4.5,Steve Rogers perfeito
Thor,Pedro Costa,4,Legal
Thor,Emma Johnson,4,Divertido
Doutor Estranho,Carlos Lopez,4.5,Efeitos visuais incríveis
Doutor Estranho,Noah Jones,4.5,Trippy
Guardiões da Galáxia,Juliana Lima,5,Trilha sonora incrível
Guardiões da Galáxia,Michael Brown,5,Divertido demais
Guardiões da Galáxia,Olivia Brown,4.5,Ótimo
Homem-Formiga,Rafael Gomes,4,Engraçado
Homem-Formiga,Jane Smith,4.5,Surpreendente
Velozes e Furiosos,Gabriel Rodrigues,4,Ação pura
Velozes e Furiosos,Jose Hernandez,4.5,Adrenalina
John Wick,Ricardo Souza,5,Keanu em ação
John Wick,Robert Miller,5,Coreografia perfeita
John Wick,Hans Mueller,4.5,Intenso
Mad Max Estrada da Fúria,Carlos Ferreira,5,Ação do início ao fim
Mad Max Estrada da Fúria,Pierre Dubois,5,Espetacular
Mad Max Estrada da Fúria,Marco Rossi,4.5,Frenético
Duna,Pedro Costa,4.5,Épico visual
Duna,Takeshi Yamamoto,4.5,Grandioso
Duna,Yuki Tanaka,4,Interessante
Top Gun Maverick,John Doe,5,Cruise ainda voa
Top Gun Maverick,David Wilson,4.5,Nostálgico
Top Gun Maverick,James Taylor,5,Emocionante
